datetimestamp,underlyingSymbol,underlyingPrice,underlyingVol,putCall,strikePrice,expirationType,inTheMoney,lastTradingDay,expirationDate,daysToExpiration,openInterest,theoreticalVolatility,volatility,theoreticalOptionValue,closePrice,last,mark,bid,ask
2020-06-27 16:25:49.981917,AAPL,353.7,29.0,CALL,367.5,R,False,2020-07-18 00:00:00,2020-07-17 20:00:00,20,585,29.0,34.447,6.175,6.15,6.09,6.18,5.9,6.45
2020-06-27 16:25:49.981917,AAPL,353.7,29.0,CALL,370.0,R,False,2020-07-18 00:00:00,2020-07-17 20:00:00,20,9030,29.0,33.947,5.3,5.28,5.25,5.3,5.1,5.5
2020-06-27 16:25:49.981917,AAPL,353.7,29.0,CALL,372.5,R,False,2020-07-18 00:00:00,2020-07-17 20:00:00,20,1660,29.0,32.703,4.3,4.41,4.57,4.3,3.7,4.9
2020-06-27 16:25:49.981917,AAPL,353.7,29.0,CALL,375.0,R,False,2020-07-18 00:00:00,2020-07-17 20:00:00,20,7342,29.0,33.435,3.925,3.92,4.02,3.93,3.8,4.05
2020-06-27 16:25:49.981917,AAPL,353.7,29.0,CALL,377.5,R,False,2020-07-18 00:00:00,2020-07-17 20:00:00,20,238,29.0,33.505,3.425,3.43,3.55,3.43,3.3,3.55
2020-06-27 16:25:49.981917,AAPL,353.7,29.0,CALL,330.0,S,True,2020-07-25 00:00:00,2020-07-24 20:00:00,27,286,29.0,38.06,29.05,30.73,30.18,29.05,27.25,30.85
2020-06-27 16:25:49.981917,AAPL,353.7,29.0,CALL,332.5,S,True,2020-07-25 00:00:00,2020-07-24 20:00:00,27,57,29.0,41.411,28.35,28.74,28.26,28.35,27.15,29.55
2020-06-27 16:25:49.981917,AAPL,353.7,29.0,CALL,335.0,S,True,2020-07-25 00:00:00,2020-07-24 20:00:00,27,463,29.0,38.676,25.75,26.75,25.96,25.75,24.75,26.75
2020-06-27 16:25:49.981917,AAPL,353.7,29.0,CALL,337.5,S,True,2020-07-25 00:00:00,2020-07-24 20:00:00,27,149,29.0,38.173,23.925,24.88,25.7,23.92,23.4,24.45
2020-06-27 16:25:49.981917,AAPL,353.7,29.0,CALL,340.0,S,True,2020-07-25 00:00:00,2020-07-24 20:00:00,27,513,29.0,38.081,22.3,23.0,22.4,22.3,21.6,23.0
2020-06-27 16:25:49.981917,AAPL,353.7,29.0,CALL,342.5,S,True,2020-07-25 00:00:00,2020-07-24 20:00:00,27,75,29.0,37.678,20.625,21.35,22.75,20.63,19.9,21.35
2020-06-27 16:25:49.981917,AAPL,353.7,29.0,CALL,345.0,S,True,2020-07-25 00:00:00,2020-07-24 20:00:00,27,439,29.0,36.379,18.675,19.78,19.55,18.67,17.95,19.4
2020-06-27 16:25:49.981917,AAPL,353.7,29.0,CALL,347.5,S,True,2020-07-25 00:00:00,2020-07-24 20:00:00,27,115,29.0,39.013,18.275,18.22,17.67,18.27,16.95,19.6
2020-06-27 16:25:49.981917,AAPL,353.7,29.0,CALL,350.0,S,True,2020-07-25 00:00:00,2020-07-24 20:00:00,27,934,29.0,36.93,16.15,16.65,15.9,16.15,15.65,16.65
2020-06-27 16:25:49.981917,AAPL,353.7,29.0,CALL,352.5,S,True,2020-07-25 00:00:00,2020-07-24 20:00:00,27,364,29.0,36.188,14.6,15.16,14.65,14.6,14.25,14.95
2020-06-27 16:25:49.981917,AAPL,353.7,29.0,CALL,355.0,S,False,2020-07-25 00:00:00,2020-07-24 20:00:00,27,1032,29.0,37.835,14.05,13.67,13.32,14.05,12.9,15.2
2020-06-27 16:25:49.981917,AAPL,353.7,29.0,CALL,357.5,S,False,2020-07-25 00:00:00,2020-07-24 20:00:00,27,430,29.0,35.652,12.075,12.18,12.55,12.08,11.75,12.4
2020-06-27 16:25:49.981917,AAPL,353.7,29.0,CALL,360.0,S,False,2020-07-25 00:00:00,2020-07-24 20:00:00,27,1052,29.0,35.53,10.975,11.05,10.6,10.98,9.9,12.05
